top - 11:16:45 up 43 min,  1 user,  load average: 0.50, 0.50, 0.4
Tasks: 366 total,   2 running, 364 sleeping,   0 stopped,   0 zom
%Cpu(s): 11.7 us,  3.6 sy,  0.0 ni, 84.7 id,  0.0 wa,  0.0 hi,  0
MiB Mem :   7943.5 total,   4115.8 free,   1437.1 used,   2390.6 
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.   6104.6 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM
   1002 kernoops  20   0   13088   2200   1792 S   0.0   0.0
   1016 kernoops  20   0   13088   2060   1664 S   0.0   0.0
   1087 spai5     20   0   17976  10496   8064 S   0.0   0.1
   1089 spai5     20   0  104300   5704   1664 S   0.0   0.1
   1095 spai5     20   0   39580   6144   5120 S   0.0   0.1
   1096 spai5     20   0   23604   6400   5376 S   0.0   0.1
   1097 spai5     20   0 1160116  26056  20680 S   0.0   0.3
   1098 spai5     20   0   76252  14208  12544 S   0.0   0.2
   1100 spai5     20   0 1153720   8704   7040 S   0.0   0.1
   1102 rtkit     21   1  154004   3328   3072 S   0.0   0.0
   1110 spai5     20   0  388384   7708   6784 S   0.0   0.1
   1122 spai5     20   0  162388   5888   5504 S   0.0   0.1
   1124 spai5     20   0   15036  10752   4096 S   0.0   0.1
   1131 spai5     20   0  223044  15488  13824 S   0.0   0.2
   1133 spai5     20   0  240756   7936   7040 S   0.0   0.1
   1157 spai5     20   0  380892   6528   5888 S   0.0   0.1
   1216 spai5     20   0   91908   5632   5248 S   0.0   0.1
   1231 root      20   0       0      0      0 I   0.0   0.0
   1232 spai5     20   0  658448  17408  14720 S   0.0   0.2
   1251 spai5     20   0  309620   7680   6912 S   0.0   0.1
   1262 spai5     20   0    8432   4224   3968 S   0.0   0.1
   1325 spai5     20   0  536904   7168   6656 S   0.0   0.1
   1331 spai5     20   0  236148   6144   5760 S   0.0   0.1
   1337 root      20   0    2796   1792   1792 S   0.0   0.0
   1419 spai5     20   0  306088  22028  15156 S   0.0   0.3
   1423 spai5     20   0  623788  13568  11520 S   0.0   0.2
   1427 spai5     20   0  582900  20864  17920 S   0.0   0.3
   1429 spai5     20   0  663028  29212  21068 S   0.0   0.4
   1436 spai5     20   0  392212  25344  21760 S   0.0   0.3
   1438 root      20   0  242220   8704   7552 S   0.0   0.1
   1449 geoclue   20   0  293820  22620  14464 S   0.0   0.3
   1452 spai5     20   0  578376  40064  32896 S   0.0   0.5
   1453 spai5     20   0  537244  10624   8704 S   0.0   0.1
   1458 spai5     20   0 1118996  30592  26368 S   0.0   0.4
   1464 spai5     20   0  236632   6528   6016 S   0.0   0.1
   1475 spai5     20   0  338400  15104  13312 S   0.0   0.2
   1477 spai5     20   0  237536   6784   6144 S   0.0   0.1
   1487 spai5     20   0  156936   5888   5376 S   0.0   0.1
   1493 spai5     20   0  754164  28672  25088 S   0.0   0.4
   1497 spai5     20   0  315208   8192   7168 S   0.0   0.1
   1503 spai5     20   0  236456   6528   6016 S   0.0   0.1
   1513 root      20   0  298208  20428  17612 S   0.0   0.3
   1523 spai5     20   0  314860   8960   7808 S   0.0   0.1
   1531 spai5     20   0 2873820  27416  22656 S   0.0   0.3
   1533 spai5     20   0  162684   7424   6784 S   0.0   0.1
   1553 spai5     20   0    2892   1536   1536 S   0.0   0.0
   1554 spai5     20   0  310420   6912   6272 S   0.0   0.1
   1556 spai5     20   0  315308  11724   6912 S   0.0   0.1
   1557 spai5     20   0  451200  25276  19772 S   0.0   0.3
   1558 spai5     20   0  375464  16256  14336 S   0.0   0.2
   1561 spai5     20   0  311920   7936   7296 S   0.0   0.1
   1563 spai5     20   0  340588  21824  17216 S   0.0   0.3
   1565 spai5     20   0  864160  26688  21184 S   0.0   0.3
   1567 spai5     20   0  450556  24960  19456 S   0.0   0.3
   1569 spai5     20   0  249852  11264   9856 S   0.0   0.1
   1571 spai5     20   0  457856   6784   6144 S   0.0   0.1
   1574 spai5     20   0  236288   6272   5760 S   0.0   0.1
   1575 spai5     20   0  465936  10752   9216 S   0.0   0.1
   1579 spai5     20   0  386032   8192   7424 S   0.0   0.1
   1580 spai5     20   0  319340   9600   8576 S   0.0   0.1
   1581 spai5     20   0  341176  22080  17088 S   0.0   0.3
   1642 root       0 -20       0      0      0 I   0.0   0.0
   1653 spai5     20   0  342356  14848  13056 S   0.0   0.2
   1663 spai5     20   0  163480   7168   6656 S   0.0   0.1
   1666 spai5     20   0  347816  28476  17792 S   0.0   0.4
   1673 spai5     20   0  232268   7296   6016 S   0.0   0.1
   1687 spai5     20   0  237260   7424   6912 S   0.0   0.1
   1700 spai5     20   0  141124  37960  29248 S   0.0   0.5
   1702 spai5     20   0  819244  66432  51328 S   0.0   0.8
   1728 spai5     20   0  162908   6528   6016 S   0.0   0.1
   1756 spai5     20   0  163480   7424   6784 S   0.0   0.1
   1766 spai5     20   0  344488  25148  18364 S   0.0   0.3
   1773 colord    20   0  245384  13240   9656 S   0.0   0.2
   1786 spai5     39  19  647952  31940  22536 S   0.0   0.4
   1801 spai5     20   0 2873936  27832  22528 S   0.0   0.3
   1850 spai5     20   0  545032  79244  60892 S   0.0   1.0
   1901 spai5     20   0  194108  24616  17920 S   0.0   0.3
   1923 root      20   0       0      0      0 I   0.0   0.0
   1924 root      20   0       0      0      0 I   0.0   0.0
   1958 spai5     20   0 1124.0g 165576 118872 S   0.0   2.0
   1963 spai5     20   0   32.2g  46464  38784 S   0.0   0.6
   1964 spai5     20   0   32.2g  46592  38912 S   0.0   0.6
   1966 spai5     20   0   32.2g  11472   3840 S   0.0   0.1
   1980 spai5     20   0   32.0g   3456   3200 S   0.0   0.0
   1995 spai5     20   0   32.6g 134012 109440 S   0.0   1.6
   2004 spai5     20   0   32.3g  65348  56576 S   0.0   0.8
   2067 root       0 -20       0      0      0 I   0.0   0.0
